 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
   1.042600023E-03   1.211484195E+00   1.260453117E-06   2.029362084E-04   9.586722851E+00   4.323832044E+00   3.941560556E+00   1.293186509E+00   1.625732899E-06   3.030163386E-04   9.700087524E+00   4.168388971E+00   4.031156613E+00   1.199315741E+00   1.251013554E-06   2.627238682E-04   9.654546874E+00   4.384556825E+00   4.103160832E+00
   1.442800043E-03   1.109761805E+00   1.998180470E-05   2.060606376E-04   9.644152532E+00   3.261218708E+00   4.057335061E+00   1.261116014E+00   5.023397626E-05   1.875588412E-04   9.719145281E+00   3.423962828E+00   4.466569819E+00   1.205832813E+00   1.553035096E-05   2.528563721E-04   9.638008492E+00   3.280740315E+00   4.237769902E+00
   1.843000064E-03   1.011982909E+00   1.447987675E-04   2.050849520E-03   9.668148885E+00   5.488895580E+00   4.530040583E+00   1.160081137E+00   2.305328814E-04   2.136738570E-03   9.646917102E+00   5.850061925E+00   4.810458977E+00   1.083686827E+00   1.290702595E-04   2.196220098E-03   9.864137945E+00   6.214550269E+00   4.755906464E+00
   2.243200084E-03   9.263263497E-01   8.711655234E-04   4.683613503E-03   9.528714987E+00   8.141192873E+00   6.428382624E+00   9.480307680E-01   1.101955416E-03   4.089050753E-03   9.278194438E+00   7.860116112E+00   7.939860359E+00   8.373494539E-01   1.165393983E-03   4.807164619E-03   9.386973210E+00   8.847277406E+00   7.514744070E+00
   2.643399872E-03   8.416330513E-01   1.474562280E-03   1.182309637E-02   9.243223032E+00   8.277140669E+00   8.454085586E+00   9.307479962E-01   1.701722400E-03   1.369005229E-02   9.164046331E+00   9.209130489E+00   9.352457881E+00   9.976360136E-01   1.508382487E-03   8.795920865E-03   9.494380700E+00   8.458619201E+00   8.562733428E+00
   3.043600125E-03   9.466147137E-01   1.760162856E-03   2.061432377E-02   9.262991157E+00   8.330066553E+00   9.760304345E+00   1.045250658E+00   1.867100583E-03   2.751677101E-02   8.974265136E+00   9.003622917E+00   1.081013269E+01   1.158873594E+00   1.747207022E-03   2.249025873E-02   9.333820769E+00   8.904793231E+00   1.015952648E+01
   3.443799913E-03   1.195879132E+00   1.773151949E-03   3.707261378E-02   9.542130859E+00   8.144777142E+00   1.171681140E+01   1.563635256E+00   1.688866647E-03   4.521570393E-02   9.629171115E+00   8.619315696E+00   1.246677548E+01   1.452886841E+00   1.615914217E-03   3.798761677E-02   9.815346123E+00   8.346327541E+00   1.174605621E+01
   3.844000166E-03   1.547883114E+00   1.770466208E-03   6.107043120E-02   9.920235016E+00   8.056010454E+00   1.380345908E+01   1.807509383E+00   2.021886069E-03   8.240121147E-02   1.003866622E+01   8.199903788E+00   1.415479054E+01   1.839666550E+00   1.827184253E-03   6.035352408E-02   1.016606343E+01   7.898312016E+00   1.400947438E+01
   4.244200420E-03   2.066238114E+00   1.836462738E-03   8.854563128E-02   1.063904882E+01   8.067001441E+00   1.555686977E+01   2.231337663E+00   2.145471756E-03   1.200852518E-01   1.112367543E+01   8.926756486E+00   1.554092150E+01   1.967664606E+00   1.781621953E-03   8.209957028E-02   1.024394759E+01   8.163842800E+00   1.602021150E+01
   4.644399974E-03   2.757135859E+00   1.905288899E-03   1.153342358E-01   1.165401375E+01   8.038097812E+00   1.676049062E+01   3.183552265E+00   1.749081139E-03   1.398861299E-01   1.225675134E+01   7.634157428E+00   1.635391465E+01   2.750733393E+00   1.890408555E-03   1.190606817E-01   1.146958276E+01   8.665540347E+00   1.745986868E+01
   4.972999915E-03   3.371202550E+00   2.036191623E-03   1.338890179E-01   1.246826051E+01   8.104653972E+00   1.737194018E+01   3.573472174E+00   1.982464890E-03   1.557827536E-01   1.281967950E+01   7.721771294E+00   1.791365860E+01   3.326263813E+00   1.968662521E-03   1.338976558E-01   1.211880476E+01   8.901210337E+00   1.809589950E+01
   5.373199936E-03   4.026777538E+00   2.457388170E-03   1.497158730E-01   1.337953061E+01   8.440276177E+00   1.779473095E+01   4.598966400E+00   3.197927219E-03   1.718284680E-01   1.273230356E+01   9.674690613E+00   1.766931960E+01   4.168692344E+00   2.369048198E-03   1.538544657E-01   1.347202111E+01   9.057810885E+00   1.835987459E+01
   5.773399957E-03   4.573679044E+00   3.235129118E-03   1.612819147E-01   1.416266065E+01   8.982921607E+00   1.788590858E+01   4.764504683E+00   3.600396158E-03   1.844685830E-01   1.359177321E+01   9.923380073E+00   1.827140223E+01   4.647480900E+00   2.986103329E-03   1.582947877E-01   1.389343015E+01   9.411061015E+00   1.776981032E+01
   6.173599977E-03   5.009761915E+00   4.588338862E-03   1.684119925E-01   1.475892059E+01   9.593674312E+00   1.785996778E+01   5.527735258E+00   6.452012437E-03   1.969040567E-01   1.460464242E+01   1.043506492E+01   1.750792094E+01   5.188316886E+00   4.728202125E-03   1.637166754E-01   1.446919151E+01   9.690758696E+00   1.851397190E+01
   6.573799998E-03   5.385455206E+00   6.593783819E-03   1.714864241E-01   1.515305782E+01   1.011016140E+01   1.775513943E+01   5.823441065E+00   7.804745280E-03   1.822221407E-01   1.559647719E+01   1.058644222E+01   1.733413482E+01   5.466038433E+00   6.461783296E-03   1.737894852E-01   1.548649135E+01   1.000639669E+01   1.822968852E+01
   6.974000018E-03   5.626342245E+00   9.022798657E-03   1.728124782E-01   1.542635325E+01   1.043899516E+01   1.766275218E+01   6.920204671E+00   1.295907763E-02   1.922434538E-01   1.468986309E+01   1.082924345E+01   1.783818819E+01   5.320499125E+00   8.825380334E-03   1.764422397E-01   1.546961344E+01   1.079782017E+01   1.859603007E+01
   7.374200039E-03   5.735349594E+00   1.158221738E-02   1.723560066E-01   1.548884469E+01   1.061967808E+01   1.760607898E+01   6.284486646E+00   1.507873521E-02   2.000943028E-01   1.575375146E+01   1.103058846E+01   1.756172236E+01   5.558386001E+00   1.118366792E-02   1.757920389E-01   1.531119962E+01   1.109574363E+01   1.804222285E+01
